MUNICIPALITY,DISTRICT,LOCATIVE OF MUNICIPALITY,GPS
Suchdol,Prostějov,Suchdole; Suchdolu,"49.54718943,16.89670066"
Tvorovice,Prostějov,Tvorovicích,"49.37440005,17.22194654"
Víceměřice,Prostějov,Víceměřicích,"49.34407061,17.17182359"
Vrbátky,Prostějov,Vrbátkách,"49.50805978,17.19997529"
Křetín,Blansko,Křetíně,"49.56313332,16.50443702"
Křtěnov,Blansko,Křtěnově,"49.54501655,16.41930167"
Janov,Svitavy,Janově,"49.84080258,16.38528027"
Kamenná Horka,Svitavy,Kamenné Horce,"49.73793572,16.52397119"
Nehodiv,Klatovy,Nehodivě,"49.41084840,13.55639116"
Daskabát,Olomouc,Daskabátě; Daskabátu,"49.57854994,17.44727618"
Vojkovice,Frýdek-Místek,Vojkovicích,"49.68232370,18.46805034"
Nošovice,Frýdek-Místek,Nošovicích,"49.66070949,18.42636154"
Pstruží,Frýdek-Místek,Pstruží,"49.56634402,18.33249458"
Vělopolí,Frýdek-Místek,Vělopolí,"49.70041419,18.57093443"
Řeka,Frýdek-Místek,Řece,"49.64108227,18.57143371"
Smilovice,Frýdek-Místek,Smilovicích,"49.66074975,18.57180007"
Temelín,České Budějovice,Temelíně,"49.19291570,14.34876549"
Velké Karlovice,Vsetín,Velkých Karlovicích,"49.36062339,18.28357220"
Trhové Sviny,České Budějovice,Trhových Svinech,"48.84238919,14.63924140"
Vigantice,Vsetín,Viganticích,"49.44377528,18.18404886"
Zděchov,Vsetín,Zděchově,"49.26096057,18.07784621"
Vrábče,České Budějovice,Vrábči,"48.91742949,14.37592079"
Zámrsk,Ústí nad Orlicí,Zámrsku,"49.98621326,16.12880373"
Krucemburk,Havlíčkův Brod,Krucemburku,"49.68845416,15.85211158"
Koclířov,Svitavy,Koclířově,"49.76632110,16.53988050"
Linhartice,Svitavy,Linharticích,"49.75735416,16.69527910"
Městečko Trnávka,Svitavy,Městečku Trnávce,"49.70928670,16.72747917"
Morašice,Svitavy,Morašicích,"49.86773436,16.23365015"
Moravská Třebová,Svitavy,Moravské Třebové,"49.75795387,16.66430399"
Semice,Nymburk,Semicích,"50.16423019,14.87154700"
Sedlice,Pelhřimov,Sedlici; Sedlicích,"49.51519935,15.25637595"
Zdobín,Trutnov,Zdobíně,"50.41534016,15.70503902"
Včelnička,Pelhřimov,Včelničce,"49.30446691,15.04243076"
Velká Chyška,Pelhřimov,Velké Chyšce,"49.51181887,15.03730139"
Velký Rybník,Pelhřimov,Velkém Rybníku; Velkém Rybníce,"49.49028608,15.30800638"
Kožichovice,Třebíč,Kožichovicích,"49.19990532,15.92193884"
Skalná,Cheb,Skalné,"50.17042131,12.36152119"
Dolní Brusnice,Trutnov,Dolní Brusnici,"50.45878815,15.72685887"
Rostěnice-Zvonovice,Vyškov,Rostěnicích-Zvonovicích,"49.23910837,16.96423805"
Křelov-Břuchotín,Olomouc,Křelově-Břuchotíně,"49.61472999,17.19956698"
Bítov,Nový Jičín,Bítově,"49.80031559,18.04752828"
Třemešná,Bruntál,Třemešné,"50.20523525,17.57499358"
Úvalno,Bruntál,Úvalně,"50.04715502,17.74479201"
Vrbno pod Pradědem,Bruntál,Vrbnu pod Pradědem; Vrbně pod Pradědem,"50.12095720,17.38322177"
Frýdek-Místek,Frýdek-Místek,Frýdku-Místku,"49.68535082,18.34841351"
Bílá,Frýdek-Místek,Bílé,"49.44205457,18.45294826"
Bruzovice,Frýdek-Místek,Bruzovicích,"49.71697656,18.40967782"
Olovnice,Mělník,Olovnici,"50.23467498,14.24045752"
Pchery,Kladno,Pcherách,"50.19386022,14.11789567"
Podlešín,Kladno,Podlešíně,"50.22110326,14.16033822"
Přelíc,Kladno,Přelíci,"50.20569990,14.04593292"
Tuchlovice,Kladno,Tuchlovicích,"50.13811279,13.99122737"
Hluboš,Příbram,Hluboši,"49.74630591,14.02024427"
Veselá,Pelhřimov,Veselé,"49.31911873,15.22676397"
Vyskytná,Pelhřimov,Vyskytné,"49.42821942,15.36555270"
Keblov,Benešov,Keblově,"49.67770901,15.07193386"
Buzice,Strakonice,Buzicích,"49.42271284,13.93264424"
Kanina,Mělník,Kanině,"50.42477753,14.60002707"
Nosálov,Mělník,Nosálově,"50.47355615,14.67075035"
Újezd u Tišnova,Brno-venkov,Újezdě u Tišnova; Újezdu u Tišnova,"49.36555516,16.32457074"
Radkov,Žďár nad Sázavou,Radkově,"49.42311603,16.15827017"
Rosička,Žďár nad Sázavou,Rosičce,"49.53682084,15.85002190"
Veselíčko,Písek,Veselíčku,"49.38807985,14.35679762"
Plenkovice,Znojmo,Plenkovicích,"48.91895464,16.00245572"
Dobrá,Frýdek-Místek,Dobré,"49.67381153,18.41396318"
Malá Úpa,Trutnov,Malé Úpě,"50.72385639,15.81388189"
Malé Svatoňovice,Trutnov,Malých Svatoňovicích,"50.53398250,16.04987359"
Nemojov,Trutnov,Nemojově,"50.46606644,15.75493936"
Radvanice,Trutnov,Radvanicích,"50.56748954,16.06181270"
Jenišovice,Jablonec nad Nisou,Jenišovicích,"50.62775305,15.13662918"
Koberovy,Jablonec nad Nisou,Koberovech,"50.62471465,15.22832430"
Kořenov,Jablonec nad Nisou,Kořenově,"50.75931017,15.36542300"
Brodce,Mladá Boleslav,Brodcích,"50.33074321,14.86925621"
Hvozdec,České Budějovice,Hvozdci,"48.99239093,14.62731950"
Čistá,Mladá Boleslav,Čisté,"50.47278741,14.84486854"
Kojátky,Vyškov,Kojátkách,"49.17182111,17.02614354"
Kamýk nad Vltavou,Příbram,Kamýku nad Vltavou,"49.63909991,14.25348896"
Písek,Písek,Písku,"49.30888069,14.14753060"
Krňany,Benešov,Krňanech,"49.84488495,14.47750374"
Přeskače,Znojmo,Přeskačích,"49.01246961,16.10690489"
Dub,Prachatice,Dubu; Dubě,"49.10832199,14.01206787"
Uhřice,Vyškov,Uhřicích,"49.17236482,17.07866780"
Heršpice,Vyškov,Heršpicích,"49.11978999,16.91357223"
Cvrčovice,Brno-venkov,Cvrčovicích,"48.99369860,16.51448140"
Ktiš,Prachatice,Ktiši,"48.91706318,14.13265891"
Vřesovice,Prostějov,Vřesovicích,"49.40168390,17.13896133"
Zdětín,Prostějov,Zdětíně,"49.50586872,16.98881118"
Želeč,Prostějov,Želči,"49.34598117,17.09781175"
Biskupice-Pulkov,Třebíč,Biskupicích-Pulkově,"49.03770785,16.01103301"
Březník,Třebíč,Březníku; Březníce,"49.17209129,16.19411520"
Grygov,Olomouc,Grygově,"49.53786408,17.31086917"
Cehnice,Strakonice,Cehnicích,"49.21515041,14.02941312"
Číčenice,Strakonice,Číčenicích,"49.15312975,14.23086808"
Kadov,Strakonice,Kadově,"49.40281740,13.77480981"
Malenice,Strakonice,Malenicích,"49.12649684,13.88284523"
Žimutice,České Budějovice,Žimuticích,"49.20379196,14.51044634"
Boletice,Český Krumlov,Boleticích,"48.83273574,14.20344194"
Holubov,Český Krumlov,Holubově,"48.89007414,14.32109399"
Lipno nad Vltavou,Český Krumlov,Lipně nad Vltavou,"48.63940893,14.22931602"
Omlenice,Český Krumlov,Omlenicích,"48.72589500,14.44363085"
Lobendava,Děčín,Lobendavě,"51.01954286,14.31435447"
Hlincová Hora,České Budějovice,Hlincové Hoře,"48.98369716,14.56446928"
Ondřejov,Praha-východ,Ondřejově,"49.90468249,14.78426440"
Dolní Rychnov,Sokolov,Dolním Rychnově,"50.16473696,12.64515332"
Panenské Břežany,Praha-východ,Panenských Břežanech,"50.21383930,14.44018069"
Předboj,Praha-východ,Předboji,"50.22546346,14.47680542"
Březnice,Zlín,Březnici,"49.18643387,17.66278500"
Krásná,Cheb,Krásné,"50.23490243,12.16807887"
Struhařov,Praha-východ,Struhařově,"49.95199239,14.74449685"
Milíkov,Cheb,Milíkově,"50.05589382,12.54767172"
Lázně Toušeň,Praha-východ,Lázních Toušeni,"50.16933656,14.71608043"
Cetoraz,Pelhřimov,Cetorazi,"49.45529755,14.95734308"
Častrov,Pelhřimov,Častrově,"49.30785756,15.18031425"
Tučapy,Tábor,Tučapech,"49.29135790,14.80343950"
Hradec-Nová Ves,Jeseník,Hradci-Nové Vsi,"50.28257850,17.28185861"
Jakubovice,Šumperk,Jakubovicích,"49.99432649,16.82882971"
Postřelmůvek,Šumperk,Postřelmůvku,"49.92264274,16.87915829"
Blížejov,Domažlice,Blížejově,"49.50011584,12.98929732"
Velká Kraš,Jeseník,Velké Kraši,"50.36309039,17.14646227"
Čermná,Domažlice,Čermné,"49.53169950,13.11664040"
Díly,Domažlice,Dílech,"49.44637806,12.78642538"
Tachov,Česká Lípa,Tachově,"50.54338071,14.63854122"
Obříství,Mělník,Obříství,"50.29595444,14.47846630"
Planá,České Budějovice,Plané,"48.94374943,14.45277556"
Úžice,Mělník,Úžicích,"50.25298072,14.37892870"
Rostoklaty,Kolín,Rostoklatech,"50.07429428,14.80152174"
Dlouhomilov,Šumperk,Dlouhomilově,"49.90691515,16.99135922"
Starý Kolín,Kolín,Starém Kolíně,"50.00982711,15.29394484"
Tismice,Kolín,Tismicích,"50.05623741,14.82112525"
Týnec nad Labem,Kolín,Týnci nad Labem,"50.04207104,15.35842289"
Velim,Kolín,Velimi,"50.05971460,15.10717881"
Pacetluky,Kroměříž,Pacetlukách,"49.37946680,17.56576408"
Počenice-Tetětice,Kroměříž,Počenicích-Tetěticích,"49.26968403,17.22700600"
Rožmitál na Šumavě,Český Krumlov,Rožmitále na Šumavě; Rožmitálu na Šumavě,"48.70147757,14.38827552"
Věcov,Žďár nad Sázavou,Věcově,"49.61617742,16.16998284"
Velká Bíteš,Žďár nad Sázavou,Velké Bíteši,"49.28866258,16.22587410"
Velká Losenice,Žďár nad Sázavou,Velké Losenici,"49.58074825,15.83676920"
Velké Janovice,Žďár nad Sázavou,Velkých Janovicích,"49.58787726,16.22008597"
Vepřová,Žďár nad Sázavou,Vepřové,"49.61248943,15.82741683"
Zubří,Žďár nad Sázavou,Zubří; Zubřím,"49.57114613,16.12372439"
Ždánice,Žďár nad Sázavou,Ždánicích,"49.54749441,16.26212197"
Bílčice,Bruntál,Bílčicích,"49.86962028,17.56555458"
Bohušov,Bruntál,Bohušově,"50.24329035,17.71392878"
Dětřichov nad Bystřicí,Bruntál,Dětřichově nad Bystřicí,"49.83419703,17.40177308"
Dolní Moravice,Bruntál,Dolní Moravici,"49.97711972,17.32170639"
Okrouhlá,Cheb,Okrouhlé,"50.06249626,12.48781563"
Velký Újezd,Olomouc,Velkém Újezdě; Velkém Újezdu,"49.57858577,17.48350257"
Zápy,Praha-východ,Zápech,"50.16506708,14.68012483"
Bolatice,Opava,Bolaticích,"49.95171221,18.08363641"
Březová,Opava,Březové,"49.79157590,17.86560086"
Otmarov,Brno-venkov,Otmarově,"49.10053965,16.67268772"
Alojzov,Prostějov,Alojzově,"49.42345766,17.04150906"
Seloutky,Prostějov,Seloutkách,"49.44141586,17.06332428"
Hlavnice,Opava,Hlavnici,"49.92438818,17.72790946"
Stádlec,Tábor,Stádlci,"49.37967234,14.49509608"
Chrastavice,Domažlice,Chrastavicích,"49.45366458,12.95684923"
Horní Počaply,Mělník,Horních Počaplech; Horních Počaplích,"50.42447799,14.39002015"
Hořín,Mělník,Hoříně,"50.34489120,14.46426207"
Hradec,Plzeň-jih,Hradci,"49.63515762,13.12142109"
Hradiště,Plzeň-jih,Hradišti,"49.43941832,13.75612885"
Chlum,Plzeň-jih,Chlumu,"49.60529654,13.47924294"
Cerhenice,Kolín,Cerhenicích,"50.07133537,15.07210256"
Kostelec nad Černými lesy,Praha-východ,Kostelci nad Černými lesy,"49.99410071,14.85928265"
Krupá,Kolín,Krupé,"50.01742490,14.87136504"
Lošany,Kolín,Lošanech,"49.99759881,15.12600704"
Ohaře,Kolín,Ohařích,"50.09783680,15.29508370"
Prusinovice,Kroměříž,Prusinovicích,"49.37898741,17.58712540"
Rajnochovice,Kroměříž,Rajnochovicích,"49.41298737,17.81318194"
Roštín,Kroměříž,Roštíně,"49.18880008,17.28606184"
Drahonín,Brno-venkov,Drahoníně,"49.41409578,16.27692894"
Hamry nad Sázavou,Žďár nad Sázavou,Hamrech nad Sázavou,"49.56606633,15.90172481"
Herálec,Žďár nad Sázavou,Herálci,"49.68895490,15.99435905"
Bory,Žďár nad Sázavou,Borech,"49.42607752,16.02843657"
Horní Rožínka,Žďár nad Sázavou,Horní Rožínce,"49.50003626,16.19292877"
Chlumek,Žďár nad Sázavou,Chlumku,"49.37452825,15.85478431"
Jabloňov,Žďár nad Sázavou,Jabloňově,"49.32405284,16.08968446"
Jívoví,Žďár nad Sázavou,Jívoví,"49.40540828,16.09076815"
Koroužné,Žďár nad Sázavou,Koroužném,"49.52750627,16.34766673"
Huzová,Olomouc,Huzové,"49.81997461,17.29800572"
Radkova Lhota,Přerov,Radkově Lhotě,"49.44175357,17.62057371"
Radotín,Přerov,Radotíně,"49.47963383,17.63274976"
Radvanice,Přerov,Radvanicích,"49.50981175,17.47727125"
Rokytnice,Přerov,Rokytnici,"49.46593179,17.39122800"
Skalička,Přerov,Skaličce,"49.51539624,17.79589523"
Stará Ves,Přerov,Staré Vsi,"49.38055703,17.49162481"
Šabina,Sokolov,Šabině,"50.13575498,12.58239162"
Louňovice,Praha-východ,Louňovicích,"49.98233154,14.76180669"
Měšice,Praha-východ,Měšicích,"50.19806789,14.51999287"
Sudoměřice u Bechyně,Tábor,Sudoměřicích u Bechyně,"49.28979673,14.53845694"
Hrabová,Šumperk,Hrabové,"49.84546714,16.95389629"
Pila,Karlovy Vary,Pile,"50.17979367,12.92593645"
Ropice,Frýdek-Místek,Ropici,"49.70533795,18.61348653"
Rokytnice,Zlín,Rokytnici,"49.06613707,17.91136287"
Mouřínov,Vyškov,Mouřínově,"49.12148200,16.97849821"
Strašín,Klatovy,Strašíně,"49.17933478,13.64041942"
Ostrata,Zlín,Ostratě,"49.27092542,17.76684602"
Pavlovice u Kojetína,Prostějov,Pavlovicích u Kojetína,"49.30196745,17.21252919"
Písečná,Frýdek-Místek,Písečné,"49.57464490,18.78738565"
Žihobce,Klatovy,Žihobcích,"49.21555222,13.63175558"
Plaňany,Kolín,Plaňanech,"50.05016484,15.02950797"
Nenačovice,Beroun,Nenačovicích,"50.01920002,14.13903022"
Opatov,Jihlava,Opatově,"49.43108147,15.39430686"
Police,Třebíč,Polici,"48.96567191,15.63039492"
Přešovice,Třebíč,Přešovicích,"49.05014537,16.06135145"
Radkovice u Hrotovic,Třebíč,Radkovicích u Hrotovic,"49.07047866,16.00710348"
Rohy,Třebíč,Rozích; Rohách,"49.30557930,16.00562273"
Senorady,Brno-venkov,Senoradech,"49.12438290,16.24445977"
Smrk,Třebíč,Smrku,"49.22562098,16.00188983"
Studnice,Třebíč,Studnicích,"49.29102830,16.02896699"
Šebkovice,Třebíč,Šebkovicích,"49.12314959,15.81362616"
Křoví,Žďár nad Sázavou,Křoví,"49.30599591,16.26426774"
Kuřimská Nová Ves,Brno-venkov,Kuřimské Nové Vsi,"49.34559025,16.29707770"
Lhotka,Žďár nad Sázavou,Lhotce,"49.58222153,16.00291211"
Předměřice nad Jizerou,Mladá Boleslav,Předměřicích nad Jizerou,"50.25554498,14.78134924"
Přechovice,Strakonice,Přechovicích,"49.17962714,13.89478973"
Řepov,Mladá Boleslav,Řepově,"50.40239811,14.95708375"
Tchořovice,Strakonice,Tchořovicích,"49.43713290,13.80991510"
Skalsko,Mladá Boleslav,Skalsku,"50.42718899,14.75911916"
Sukorady,Mladá Boleslav,Sukoradech,"50.42630054,15.02908305"
Slaník,Strakonice,Slaníku,"49.26836866,13.95159297"
Horní Poříčí,Strakonice,Horním Poříčí,"49.28604946,13.78284742"
Pohorovice,Strakonice,Pohorovicích,"49.18867549,14.13510207"
Mukařov,Praha-východ,Mukařově,"49.99122040,14.74161295"
Hnojice,Olomouc,Hnojicích,"49.71632218,17.22416282"
Horka nad Moravou,Olomouc,Horce nad Moravou,"49.64009882,17.21073764"
Luká,Olomouc,Luké,"49.64916204,16.94731694"
Mladeč,Olomouc,Mladči,"49.70584181,17.01956714"
Dřenice,Chrudim,Dřenicích,"49.98257983,15.74545980"
Paseka,Olomouc,Pasece,"49.79645483,17.22280410"
Lány,Chrudim,Lánech,"49.94793080,15.72877152"
Senice na Hané,Olomouc,Senici na Hané,"49.62402608,17.08581317"
Slatinice,Olomouc,Slatinicích,"49.56156761,17.09995407"
Troubelice,Olomouc,Troubelicích,"49.81732734,17.08105338"
Dnešice,Plzeň-jih,Dnešicích,"49.60492549,13.26459026"
Tasovice,Znojmo,Tasovicích,"48.83613531,16.15558188"
Uherčice,Znojmo,Uherčicích,"48.91328627,15.63037898"
Vítonice,Znojmo,Vítonicích,"48.91940512,16.19888375"
Vratěnín,Znojmo,Vratěníně,"48.90413705,15.59517987"
Vrbovec,Znojmo,Vrbovci,"48.79981890,16.10061002"
Zálesí,Znojmo,Zálesí,"48.95417853,15.78205881"
Kalhov,Jihlava,Kalhově,"49.48107948,15.44146060"
Kamenice,Jihlava,Kamenici,"49.36663304,15.78025684"
Klatovec,Jihlava,Klatovci,"49.22247382,15.29471096"
Třebelovice,Třebíč,Třebelovicích,"49.02220307,15.66624166"
Vladislav,Třebíč,Vladislavi,"49.21021078,15.98831788"
Zárubice,Třebíč,Zárubicích,"49.12426867,15.98144633"
Loučná nad Desnou,Šumperk,Loučné nad Desnou,"50.07157610,17.09102158"
Lukavice,Šumperk,Lukavici,"49.82292237,16.92044746"
Otěšice,Plzeň-jih,Otěšicích,"49.54413389,13.22028562"
Nebílovy,Plzeň-jih,Nebílovech,"49.63019122,13.42918462"
Maletín,Šumperk,Maletíně,"49.78184730,16.78535360"
Jesenice,Příbram,Jesenici,"49.60782102,14.47816906"
Předenice,Plzeň-jih,Předenicích,"49.62448795,13.39660679"
Moravičany,Šumperk,Moravičanech,"49.75695333,16.96046653"
Nišovice,Strakonice,Nišovicích,"49.15531425,13.89736936"
Teplice nad Bečvou,Přerov,Teplicích nad Bečvou,"49.52851341,17.74011190"
Vojkovice,Mělník,Vojkovicích,"50.29620697,14.37530255"
Vysoká,Mělník,Vysoké,"50.41262451,14.53826577"
Plav,České Budějovice,Plavu,"48.90150923,14.48788014"
Nákří,České Budějovice,Nákří,"49.11894450,14.32935852"
Želízy,Mělník,Želízích; Želízech,"50.42380856,14.46485532"
Týnec nad Sázavou,Benešov,Týnci nad Sázavou,"49.83354857,14.58989053"
Vrchotovy Janovice,Benešov,Vrchotových Janovicích,"49.66688908,14.57785107"
Ludíkov,Blansko,Ludíkově,"49.45541722,16.73181125"
Božetice,Písek,Božeticích,"49.45120316,14.44393156"
Bělá u Jevíčka,Svitavy,Bělé u Jevíčka,"49.63951870,16.64594342"
Soběnov,Český Krumlov,Soběnově,"48.76278214,14.54572671"
Světlík,Český Krumlov,Světlíku,"48.73174233,14.21096974"
Zlatá Koruna,Český Krumlov,Zlaté Koruně,"48.85485028,14.36954182"
Borová Lada,Prachatice,Borových Ladech,"48.98992926,13.65987044"
Černousy,Liberec,Černousích; Černousech,"51.00451925,15.05058418"
Cizkrajov,Jindřichův Hradec,Cizkrajově,"49.03060426,15.38966304"
Kostelec u Heřmanova Městce,Chrudim,Kostelci u Heřmanova Městce,"49.92336874,15.65159535"
Chudenice,Klatovy,Chudenicích,"49.46678286,13.17390009"
Myslív,Klatovy,Myslívě,"49.41430404,13.57246034"
Bravantice,Nový Jičín,Bravanticích,"49.75711071,18.08279682"
Lipnice nad Sázavou,Havlíčkův Brod,Lipnici nad Sázavou,"49.61307755,15.41360151"
Sloup,Blansko,Sloupu; Sloupě,"49.41480960,16.73955770"
Česká Lípa,Česká Lípa,České Lípě,"50.68558429,14.53774710"
Kamenický Šenov,Česká Lípa,Kamenickém Šenově,"50.77366141,14.47297826"
Bříza,Litoměřice,Bříze,"50.36059088,14.21634311"
Janovice nad Úhlavou,Klatovy,Janovicích nad Úhlavou,"49.34525415,13.21816362"
Droužkovice,Chomutov,Droužkovicích,"50.43087723,13.42918398"
Kalenice,Strakonice,Kalenicích,"49.27164231,13.71672231"
Čáslavsko,Pelhřimov,Čáslavsku,"49.59247354,15.00278795"
Olšany,Klatovy,Olšanech,"49.40092210,13.62695880"
Medlov,Olomouc,Medlově,"49.78755565,17.06265737"
Rohov,Opava,Rohově,"50.01560057,18.07145682"
Mankovice,Nový Jičín,Mankovicích,"49.63745689,17.88017599"
Klášter Hradiště nad Jizerou,Mladá Boleslav,Klášteře/Klášteru Hradišti nad Jizerou,"50.52346972,14.94481558"
Luštěnice,Mladá Boleslav,Luštěnicích,"50.32302115,14.93675598"
Strunkovice nad Volyňkou,Strakonice,Strunkovicích nad Volyňkou,"49.20858427,13.88935100"
Čermákovice,Znojmo,Čermákovicích,"49.03209068,16.19497700"
Háje nad Jizerou,Semily,Hájích nad Jizerou,"50.61192900,15.42315044"
Rudná,Praha-západ,Rudné,"50.03510479,14.23441426"
Jenišov,Karlovy Vary,Jenišově,"50.22665151,12.80001169"
Česká Kamenice,Děčín,České Kamenici,"50.79787796,14.41778456"
Hradčany,Přerov,Hradčanech,"49.45261875,17.57165576"
Milotice nad Bečvou,Přerov,Miloticích nad Bečvou,"49.53650657,17.83978531"
Paršovice,Přerov,Paršovicích,"49.50095716,17.70864569"
Kbel,Kolín,Kbelu,"49.98828104,15.14360328"
Vestec,Praha-západ,Vestci,"49.98057113,14.50493910"
Černošice,Praha-západ,Černošicích,"49.96015862,14.31985849"
Ždírec,Česká Lípa,Ždírci,"50.51553162,14.62437412"
Lipník nad Bečvou,Přerov,Lipníce nad Bečvou; Lipníku nad Bečvou,"49.52754924,17.58633834"
Potštát,Přerov,Potštátě; Potštátu,"49.63692787,17.65177195"
Rakov,Přerov,Rakově,"49.49170295,17.70779588"
Dolní Břežany,Praha-západ,Dolních Břežanech,"49.96328621,14.45856850"
Chýně,Praha-západ,Chýni,"50.06080273,14.22701564"
Chocerady,Benešov,Choceradech,"49.87297006,14.80212656"
Ploskovice,Litoměřice,Ploskovicích,"50.56031546,14.19857546"
Hostomice,Beroun,Hostomicích,"49.82534344,14.04566134"
Šárovcova Lhota,Jičín,Šárovcově Lhotě,"50.40755812,15.56236672"
Pecka,Jičín,Pecce,"50.48038252,15.60831317"
Slatiny,Jičín,Slatinách,"50.36682170,15.38148080"
Tuř,Jičín,Tuři,"50.39502936,15.41701333"
Nový Bor,Česká Lípa,Novém Boru,"50.75768118,14.55566217"
Lysice,Blansko,Lysicích,"49.45162549,16.53718710"
Tanvald,Jablonec nad Nisou,Tanvaldu,"50.73740626,15.30596025"
Liberec,Liberec,Liberci,"50.77005580,15.05855835"
Chrastava,Liberec,Chrastavě,"50.81698594,14.96894844"
Dolní Poustevna,Děčín,Dolní Poustevně,"50.98258903,14.28696422"
Jetřichovice,Děčín,Jetřichovicích,"50.85246310,14.39402447"
Jiřetín pod Jedlovou,Děčín,Jiřetíně pod Jedlovou,"50.87451789,14.57519425"
Blatno,Chomutov,Blatně,"50.51179066,13.35815474"
Soběchleby,Přerov,Soběchlebech; Soběchlebích,"49.47886558,17.65156000"
Kaliště,Praha-východ,Kališti; Kalištích,"49.88272635,14.77456589"
Kryštofovo Údolí,Liberec,Kryštofově Údolí,"50.77450868,14.93350125"
Zbenice,Příbram,Zbenicích,"49.59243559,14.08873512"
Svijanský Újezd,Liberec,Svijanském Újezdu; Svijanském Újezdě,"50.58729111,15.04344653"
Jirny,Praha-východ,Jirnech,"50.11584617,14.69930185"
Litoměřice,Litoměřice,Litoměřicích,"50.53355948,14.13189949"
Česká Metuje,Náchod,České Metuji,"50.54640681,16.17959310"
